TicketPrice,ReturnTrip,TripType,Age,Gender,TravelTime,Region
85.09,No,Half,70,Female,AM,Europe
37.91,No,Full,76,Female,PM,International
31.09,No,Full,40,Female,AM,Europe
68.4,Yes,Full,55,Male,AM,Europe
87.74,Yes,Full,42,Male,AM,International
53.66,Yes,Full,78,Female,PM,Europe
117.79,No,Half,25,Male,PM,International
83.76,No,Full,48,Female,AM,Europe
60.31,No,Full,60,Female,AM,Europe
50.09,Yes,Half,36,Male,AM,Europe
44.47,Yes,Half,46,Female,PM,Europe
88.84,No,Full,37,Male,AM,Europe
55.44,No,Full,43,Male,PM,Europe
11.86,Yes,Full,26,Female,PM,Europe
50.78,No,Half,25,Male,AM,International
89.87,Yes,Full,63,Male,AM,Europe
25.99,Yes,Half,43,Male,PM,Europe
25.18,Yes,Half,21,Male,PM,Europe
66.13,Yes,Full,22,Female,PM,Europe
66.16,No,Half,66,Male,PM,Europe
77.96,Yes,Full,61,Male,PM,Europe
102.68,Yes,Full,48,Female,PM,Europe
88.31,Yes,Full,46,Female,PM,Europe
75.27,No,Full,34,Female,PM,Europe
88.08,No,Full,33,Female,PM,Europe
42.14,No,Full,40,Female,AM,Europe
46.61,Yes,Full,23,Male,PM,Europe
31.25,Yes,Half,79,Female,PM,International
38.78,Yes,Half,40,Female,PM,International
77.56,Yes,Full,24,Male,AM,Europe
15.59,No,Full,35,Male,AM,Europe
54.88,No,Full,56,Male,AM,Europe
54.55,No,Full,56,Female,PM,Europe
61.77,No,Full,26,Male,AM,Europe
53.97,Yes,Half,54,Male,AM,International
40.91,No,Full,18,Male,PM,Europe
54.03,No,Full,76,Female,AM,Europe
107.74,No,Half,37,Female,AM,Europe
113.58,No,Full,57,Other,AM,Europe
62.71,No,Full,26,Female,PM,International
76.75,Yes,Full,69,Male,PM,International
18.3,Yes,Half,65,Male,PM,Europe
41.49,No,Full,50,Female,PM,International
52.71,No,Full,41,Other,PM,Europe
104.63,No,Half,23,Female,AM,International
33.8,No,Full,57,Male,PM,Europe
60.55,Yes,Half,30,Female,PM,Europe
118.34,No,Full,61,Female,PM,International
64.74,No,Half,31,Female,AM,Europe
75.48,Yes,Full,80,Male,PM,International
18.87,No,Full,57,Male,PM,Europe
100.03,No,Full,22,Male,AM,Europe
74.35,No,Full,48,Female,PM,Europe
67.68,Yes,Half,58,Male,AM,Europe
44.42,No,Full,55,Male,PM,International
39.97,No,Full,25,Female,AM,Europe
52.96,No,Full,41,Male,AM,Europe
83.35,Yes,Full,28,Female,PM,International
105.68,No,Full,71,Male,PM,International
63.7,Yes,Full,48,Male,PM,Europe
81.97,Yes,Full,23,Male,AM,Europe
72.38,Yes,Half,26,Female,PM,Europe
76.86,Yes,Full,35,Female,PM,Europe
82.59,No,Full,41,Female,AM,International
101.87,No,Full,76,Male,PM,Europe
14.57,Yes,Full,62,Female,AM,Europe
92.82,Yes,Half,55,Female,AM,International
33.02,No,Full,44,Male,PM,Europe
27.34,No,Full,58,Female,PM,Europe
70.83,No,Full,32,Male,PM,Europe
16.01,No,Half,33,Female,PM,Europe
106.81,No,Half,18,Other,PM,Europe
77.13,No,Full,48,Male,AM,Europe
88.19,No,Full,56,Female,PM,Europe
6.85,No,Full,71,Male,AM,Europe
73.36,No,Full,50,Male,PM,Europe
69.03,No,Full,78,Other,PM,Europe
23.28,No,Full,39,Female,AM,Europe
22.6,No,Full,51,Female,AM,Europe
84.99,Yes,Full,42,Female,PM,Europe
41.66,No,Full,60,Female,AM,International
84.58,No,Half,78,Female,AM,International
68.75,No,Half,64,Female,AM,Europe
49.73,No,Full,41,Male,PM,International
111.39,No,Full,74,Female,PM,Europe
101.79,Yes,Full,42,Female,AM,Europe
46.1,Yes,Full,36,Female,AM,Europe
10.01,Yes,Full,63,Female,PM,International
40.05,No,Half,74,Male,PM,Europe
50.79,Yes,Half,71,Female,PM,International
86.07,No,Half,69,Male,PM,International
119.47,No,Half,30,Female,AM,Europe
45.93,No,Full,59,Male,AM,International
92.69,No,Full,74,Male,PM,Europe
